TIMESTAMP;SPEED;ALTITUDE;TRIP;TEMPERATURE;FUEL;PERSONS;COUNT_TRIPS
;75;;;;;;
;70;;;;;;
;66;;;;;;
;59;;;;;;
;61;8;;;;;
;54;;;;;;
;53;;;;;;
;63;;;;;;
;62;;;;;;
;63;;;;;;
;64;;;;;;
;68;;;;;;
;69;;;;;;
;77;;;;;;
;71;;;;;;
;67;9;;;;;
;69;;;;;;
;68;;;;;;
;55;;;;;;
;53;;;;;;
;45;;;;;;
;39;;;;;;
;23;;;;;;
;8;;;;;;
;0;;;;;;
;5;;;;;;
;19;;;;;;
;22;;;;;;
;27;12;;;;;
;16;;;;;;
;6;;;;;;
;2;;;;;;
;8;;;;;;
;18;;;;;;
;8;;;;;;
;0;;;;;;
;12;;;;;;
;20;;;;;;
;34;;;;;;
;38;;;;;;
;38;;;;;;
;38;;;;;;
;38;16;;;;;
;45;;;;;;
;52;;;;;;
;38;;;;;;
;26;;;;;;
;12;;;;;;
;8;;;;;;
;0;18;;;;;
;11;;;;;;
;18;;;;;;
;26;;;;;;
;33;;;;;;
;31;;;;;;
;34;21;;;;;
;30;;;;;;
;25;;;;;;
;14;;;;;;
;11;;;;;;
;9;;;;;;
;4;;;;;;
;8;;;;;;
;12;30;;;;;
;10;;;;;;
;8;;;;;;
;0;;;;;;
;11;;;;;;
;17;;;;;;
;23;;;;;;
;18;;;;;;
;13;;;;;;
;6;;;;;;
15/05/2024 17:58;0;33;;;;;
16/05/2024 18:28;0;33;GO;23;SHELL;1;1
;4;;;;;;
;12;;;;;;
;18;;;;;;
;21;;;;;;
;17;;;;;;
;12;;;;;;
;10;;;;;;
;0;30;;;;;
;10;;;;;;
;19;;;;;;
;24;;;;;;
;31;;;;;;
;25;;;;;;
;10;27;;;;;
;4;;;;;;
;0;;;;;;
;6;;;;;;
;21;;;;;;
;17;;;;;;
;22;;;;;;
;15;;;;;;
;19;20;;;;;
;29;;;;;;
;32;;;;;;
;25;;;;;;
;31;;;;;;
;26;;;;;;
;32;;;;;;
;22;;;;;;
;6;;;;;;
;0;19;;;;;
;12;;;;;;
;26;;;;;;
;37;;;;;;
;41;;;;;;
;49;;;;;;
;57;;;;;;
;62;;;;;;
;44;;;;;;
;32;;;;;;
;11;;;;;;
;0;2;;;;;
;10;;;;;;
;24;;;;;;
;40;;;;;;
;62;;;;;;
;84;;;;;;
;74;;;;;;
;92;;;;;;
;95;;;;;;
;85;;;;;;
;79;;;;;;
;88;;;;;;
;74;;;;;;
;96;5;;;;;
;80;;;;;;
;85;;;;;;
;87;;;;;;
;83;;;;;;
;88;;;;;;
;92;;;;;;
;97;5;;;;;
;89;;;;;;
;94;;;;;;
;104;;;;;;
;100;;;;;;
;109;;;;;;
;109;;;;;;
;100;;;;;;
;103;;;;;;
;105;6;;;;;
;103;;;;;;
;110;;;;;;
;96;;;;;;
;91;;;;;;
;74;;;;;;
;82;;;;;;
;91;;;;;;
;97;;;;;;
;105;;;;;;
;112;;;;;;
;105;;;;;;
;105;;;;;;
;109;15;;;;;
;107;;;;;;
;99;;;;;;
;102;;;;;;
;89;;;;;;
;76;;;;;;
;66;;;;;;
;53;;;;;;
;46;;;;;;
;30;17;;;;;
;25;;;;;;
;30;;;;;;
;31;;;;;;
;22;;;;;;
;27;;;;;;
;25;;;;;;
;26;20;;;;;
;24;;;;;;
;30;;;;;;
;33;;;;;;
;22;45;;;;;
;29;;;;;;
;20;;;;;;
;25;;;;;;
;26;;;;;;
;21;;;;;;
;29;;;;;;
;34;70;;;;;
;40;;;;;;
;42;;;;;;
;41;;;;;;
;33;;;;;;
;26;;;;;;
;34;;;;;;
;41;98;;;;;
;53;;;;;;
;71;;;;;;
;94;;;;;;
;110;;;;;;
;100;;;;;;
;91;125;;;;;
;72;;;;;;
;81;91;;;;;
;86;;;;;;
;78;61;;;;;
;85;;;;;;
;85;30;;;;;
;85;;;;;;
;76;;;;;;
;69;23;;;;;
;61;;;;;;
;57;;;;;;
;47;21;;;;;
;37;;;;;;
;29;;;;;;
;21;;;;;;
;27;35;;;;;
;22;;;;;;
;30;;;;;;
;27;;;;;;
;24;69;;;;;
;18;;;;;;
;18;;;;;;
;28;87;;;;;
;9;;;;;;
;21;;;;;;
;25;106;;;;;
;19;;;;;;
;19;;;;;;
;17;105;;;;;
;6;;;;;;
16/05/2024 19:18;0;105;;;;;
16/05/2024 19:20;0;105;GO;23;SHELL;2;2
;6;;;;;;
;11;;;;;;
;6;;;;;;
;14;;;;;;
;4;;;;;;
;15;;;;;;
;13;;;;;;
;17;104;;;;;
;15;;;;;;
;4;;;;;;
;11;;;;;;
;15;;;;;;
;18;;;;;;
;10;;;;;;
;4;;;;;;
;0;87;;;;;
;8;;;;;;
;10;;;;;;
;12;;;;;;
;19;;;;;;
;26;;;;;;
;24;;;;;;
;6;;;;;;
;16;;;;;;
;27;;;;;;
;30;69;;;;;
;20;;;;;;
;24;;;;;;
;17;;;;;;
;23;;;;;;
;32;;;;;;
;38;;;;;;
;46;;;;;;
;50;52;;;;;
;48;;;;;;
;61;;;;;;
;68;;;;;;
;81;;;;;;
;80;;;;;;
;78;;;;;;
;73;35;;;;;
;68;;;;;;
;70;;;;;;
;79;;;;;;
;68;;;;;;
;72;;;;;;
;69;;;;;;
;76;;;;;;
;71;;;;;;
;69;;;;;;
;57;21;;;;;
;43;;;;;;
;36;;;;;;
;23;;;;;;
;30;;;;;;
;45;;;;;;
;42;23;;;;;
;39;;;;;;
;33;;;;;;
;36;;;;;;
;19;;;;;;
;16;;;;;;
;34;;;;;;
;23;30;;;;;
;19;;;;;;
;23;;;;;;
